"QKEY","INTERVIEW_START_W55","INTERVIEW_END_W55","LANG_W55","DEVICE_TYPE_W55","FORM_W55","ENV2_a_W55","ENV2_b_W55","ENV2_c_W55","ENV2_d_W55","ENV2_e_W55","ENV2_f_W55","EN1F1_W55","ENV4_W55","EN1F2_W55","ENV5_a_W55","ENV5_b_W55","ENV5_c_W55","ENV5_d_W55","ENV17_W55","EN6F1_a_W55","EN6F1_b_W55","EN6F1_c_W55","EN6F1_d_W55","EN6F1_e_W55","EN6F1count_W55","EN6F2_a_W55","EN6F2_b_W55","EN6F2_c_W55","EN6F2_d_W55","EN6F2_e_W55","ENVIR8_a_W55","ENVIR8_b_W55","ENVIR8_c_W55","ENVIR8_d_W55","ENVIR8_e_W55","EN7_W55","EN8_W55","CLIM5_W55","CLIM6_W55","CLIM9F1_a_W55","CLIM9F1_b_W55","CLIM9F2_W55","CLIM10_a_W55","CLIM10_b_W55","CLIM10_c_W55","CLIM10_d_W55","CLIM10_e_W55","CLIM10_f_W55","CLIM10_g_W55","VAC1A_W55","VAC1B_W55","BIO33_a_W55","BIO33_b_W55","BIO34_W55","BIO35_W55","GM1_W55","GM2_W55","GM3_W55","FUD32_W55","FUD33A_W55","FUD33B_W55","FUD37_a_W55","FUD37_b_W55","FUD37_c_W55","FUD37_d_W55","PERS1_W55","PERS2_W55","PERS3_W55","PERS4_W55","PERS5_W55","PERS6_W55","PERS7_W55","PERS8_W55","PERS9_W55","PERS10_W55","PERS11_W55","PERS12_W55","SATIS_W55","EMTREP_a_W55","EMTREP_b_W55","EMTREP_c_W55","EMTREP_d_W55","EMTDEM_a_W55","EMTDEM_b_W55","EMTDEM_c_W55","EMTDEM_d_W55","IMPEACHEARD_W55","IMPEACHAPP_W55","IMPEACHREM_W55","IMPCONFREP_W55","IMPCONFDEM_W55","IMPKNOW_W55","F_METRO","F_CREGION","F_CDIVISION","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_HISP","F_RACECMB","F_RACETHN","F_NATIVITY","F_CITIZEN","F_MARITAL","F_RELIG","F_BORN","F_ATTEND","F_RELCOM3CAT","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_IDEO","F_ACSWEB","F_VOLSUM","IMPEACHT_W53","WEIGHT_W53_W55","WEIGHT_W55"
100314,2019-10-11 15:15:00,2019-10-11 15:26:59,1,1,2,2,2,1,1,2,1,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,2,1,1,1,1,3,2,2,2,2,2,1,3,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,NA,NA,NA,3,2,NA,3,2,1,2,3,3,4,4,4,3,3,3,3,4,4,4,1,1,2,1,1,1,1,2,2,1,2,4,2,4,3,2,2,3,4,1,2,3,2,1,1,1,1,3,1,2,4,2,1,NA,1,4,2,1,3,1,1,4,0.435319420306922,0.43819927406208
100363,2019-10-07 01:01:00,2019-10-07 01:08:00,1,3,1,1,2,1,1,2,1,1,3,NA,NA,NA,NA,NA,3,2,2,1,1,1,3,NA,NA,NA,NA,NA,2,2,3,3,3,2,1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,2,2,2,2,NA,NA,NA,4,1,1,3,3,3,4,4,3,4,3,4,2,3,2,2,2,1,1,2,2,1,1,2,2,2,2,3,4,4,3,1,1,2,2,2,1,6,2,1,1,1,1,1,2,2,4,2,2,NA,2,8,1,1,4,1,2,4,0.677341984175913,0.657950294710971
100588,2019-10-04 01:28:00,2019-10-04 01:42:59,1,3,2,2,2,2,1,2,1,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,0,3,1,2,1,1,2,2,2,2,2,1,3,3,1,NA,NA,2,1,2,1,2,1,1,1,NA,NA,5,1,1,2,NA,NA,NA,2,3,NA,2,3,3,2,1,5,4,4,5,3,1,1,4,2,1,5,2,1,1,2,2,1,2,1,1,2,1,1,3,2,2,1,4,9,2,2,2,4,1,5,3,1,1,1,2,2,4,2,2,NA,2,6,2,1,3,1,2,1,0.438703756652167,0.438409167245409
100598,2019-10-04 22:19:00,2019-10-07 17:51:59,1,1,2,2,2,2,1,2,1,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,2,1,2,1,2,2,2,2,2,2,1,2,3,1,NA,NA,2,2,1,2,2,2,1,1,NA,NA,5,1,1,1,NA,NA,NA,2,8,2,2,3,3,2,3,2,4,3,3,3,4,4,4,3,4,3,1,2,2,2,2,2,1,2,2,2,1,2,3,3,2,1,4,9,3,2,1,6,2,1,1,1,1,1,1,2,3,2,3,1,1,9,1,1,2,1,1,2,0.641782349074136,0.647408467720673
100637,2019-10-05 17:33:00,2019-10-05 17:41:59,1,3,1,2,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,2,1,2,2,1,2,2,NA,NA,NA,NA,NA,2,2,2,3,1,3,1,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,2,1,2,3,1,NA,NA,NA,2,3,3,2,3,3,5,2,4,2,1,4,1,3,4,4,1,1,1,1,2,1,1,2,2,1,2,4,2,4,2,1,3,5,3,2,2,4,2,1,1,1,1,1,1,1,3,2,3,1,1,5,2,1,1,1,2,4,0.850026150148216,0.818710089525824
101224,2019-10-05 11:36:00,2019-10-05 11:47:00,1,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,1,2,1,1,1,1,4,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,2,2,2,2,NA,2,2,2,2,2,2,2,3,1,NA,NA,1,99,3,1,3,NA,NA,NA,4,1,2,4,3,2,2,4,3,2,2,3,3,3,3,3,2,2,2,1,1,1,1,2,2,2,2,3,2,4,2,1,3,5,4,1,3,2,2,1,1,1,1,1,1,1,1,1,1,NA,1,5,2,1,2,1,1,4,0.534049691091526,0.550048638417029
101400,2019-10-09 18:17:00,2019-10-09 18:26:00,1,3,1,2,2,2,1,2,1,1,3,NA,NA,NA,NA,NA,2,1,2,2,1,1,3,NA,NA,NA,NA,NA,2,2,2,2,2,1,3,1,1,1,2,NA,2,1,2,2,2,1,2,3,1,NA,NA,1,2,3,1,1,NA,NA,NA,1,3,3,1,2,5,4,4,4,3,1,3,2,2,3,2,2,1,1,2,2,2,2,1,1,1,1,2,3,2,2,1,2,4,3,2,1,5,2,1,1,1,1,6,9,NA,6,3,2,NA,2,6,2,1,5,1,2,2,0.242571824504681,0.243765628015978
101437,2019-10-04 22:35:59,2019-10-04 22:46:00,1,1,1,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,1,1,99,1,1,1,99,NA,NA,NA,NA,NA,3,3,3,3,3,3,1,2,2,4,99,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,2,1,2,2,2,NA,NA,NA,3,1,1,3,3,2,4,4,1,5,1,3,3,4,2,3,1,2,2,1,2,1,1,2,2,1,2,3,2,4,2,2,2,4,3,2,2,4,2,1,1,1,1,3,1,1,2,1,1,NA,1,2,3,1,2,1,2,4,0.625431186325351,0.588338510268216
101472,2019-10-04 23:51:59,2019-10-05 00:00:00,1,1,2,1,1,2,1,1,2,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,3,2,3,2,2,3,3,3,3,1,2,1,2,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,NA,NA,NA,2,3,NA,2,3,3,2,3,3,3,3,4,4,4,3,1,4,2,4,1,1,1,2,2,1,2,2,2,2,1,2,3,3,2,1,3,7,2,1,1,6,2,1,1,1,1,1,2,2,5,2,3,1,1,8,1,1,3,1,2,2,0.418489297781863,0.434304615197367
101493,2019-10-04 19:28:59,2019-10-04 19:51:59,1,3,1,1,2,1,2,2,2,2,3,NA,NA,NA,NA,NA,1,2,1,1,1,1,4,NA,NA,NA,NA,NA,3,2,3,3,3,2,1,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,2,2,2,2,NA,NA,NA,2,1,1,3,2,3,3,3,3,3,3,3,3,5,5,5,2,1,2,1,1,1,1,2,2,1,2,4,4,4,3,1,4,9,3,1,2,3,1,1,3,1,1,1,1,2,6,3,1,NA,1,7,1,1,2,1,2,4,0.367153901600022,0.389956522428993
